group,function,value,sample_time_nanos,iteration_count
angle_axis,,,989042,23149
angle_axis,,,1816452,46298
angle_axis,,,2725147,69447
angle_axis,,,3636039,92596
angle_axis,,,5241670,115745
angle_axis,,,5913919,138894
angle_axis,,,6644508,162043
angle_axis,,,7394660,185192
angle_axis,,,8594732,208341
angle_axis,,,12635907,231490
angle_axis,,,11113354,254639
angle_axis,,,11076847,277788
angle_axis,,,11732655,300937
angle_axis,,,16686194,324086
angle_axis,,,15702807,347235
angle_axis,,,16052071,370384
angle_axis,,,15541094,393533
angle_axis,,,16859772,416682
angle_axis,,,17128153,439831
angle_axis,,,18097818,462980
angle_axis,,,19890778,486129
angle_axis,,,21222584,509278
angle_axis,,,21261455,532427
angle_axis,,,22923069,555576
angle_axis,,,22328347,578725
angle_axis,,,23465828,601874
angle_axis,,,25564651,625023
angle_axis,,,25446161,648172
angle_axis,,,25190910,671321
angle_axis,,,30710300,694470
angle_axis,,,31878010,717619
angle_axis,,,30211409,740768
angle_axis,,,37298561,763917
angle_axis,,,39954883,787066
angle_axis,,,39131332,810215
angle_axis,,,43230056,833364
angle_axis,,,42997272,856513
angle_axis,,,49675292,879662
angle_axis,,,53840266,902811
angle_axis,,,48149055,925960
angle_axis,,,44995075,949109
angle_axis,,,47959466,972258
angle_axis,,,47600137,995407
angle_axis,,,45141018,1018556
angle_axis,,,51065673,1041705
angle_axis,,,60609872,1064854
angle_axis,,,70671036,1088003
angle_axis,,,68963099,1111152
angle_axis,,,58941677,1134301
angle_axis,,,52774429,1157450
angle_axis,,,52967270,1180599
angle_axis,,,51045682,1203748
angle_axis,,,53269955,1226897
angle_axis,,,74967890,1250046
angle_axis,,,70982319,1273195
angle_axis,,,69950536,1296344
angle_axis,,,74097961,1319493
angle_axis,,,66008840,1342642
angle_axis,,,64933941,1365791
angle_axis,,,63419095,1388940
angle_axis,,,65077038,1412089
angle_axis,,,61143125,1435238
angle_axis,,,66768176,1458387
angle_axis,,,65380762,1481536
angle_axis,,,69264041,1504685
angle_axis,,,63559263,1527834
angle_axis,,,70030948,1550983
angle_axis,,,69148642,1574132
angle_axis,,,70467155,1597281
angle_axis,,,74650374,1620430
angle_axis,,,74185328,1643579
angle_axis,,,75824530,1666728
angle_axis,,,74312913,1689877
angle_axis,,,74164643,1713026
angle_axis,,,72462813,1736175
angle_axis,,,71371416,1759324
angle_axis,,,80924086,1782473
angle_axis,,,72838433,1805622
angle_axis,,,80207527,1828771
angle_axis,,,82514238,1851920
angle_axis,,,85398901,1875069
angle_axis,,,85704918,1898218
angle_axis,,,85119056,1921367
angle_axis,,,89864038,1944516
angle_axis,,,88431764,1967665
angle_axis,,,89632015,1990814
angle_axis,,,91545828,2013963
angle_axis,,,90549582,2037112
angle_axis,,,92244867,2060261
angle_axis,,,94776104,2083410
angle_axis,,,94576870,2106559
angle_axis,,,98740103,2129708
angle_axis,,,97300597,2152857
angle_axis,,,98250595,2176006
angle_axis,,,97931424,2199155
angle_axis,,,98673787,2222304
angle_axis,,,101818440,2245453
angle_axis,,,103807218,2268602
angle_axis,,,102189988,2291751
angle_axis,,,102234097,2314900
