group,function,value,sample_time_nanos,iteration_count
before_after,after,,1136874,20893
before_after,after,,2268775,41786
before_after,after,,3405720,62679
before_after,after,,4365691,83572
before_after,after,,5133112,104465
before_after,after,,6407392,125358
before_after,after,,7389493,146251
before_after,after,,9383836,167144
before_after,after,,9393083,188037
before_after,after,,9779340,208930
before_after,after,,11951214,229823
before_after,after,,13844153,250716
before_after,after,,12657020,271609
before_after,after,,12288310,292502
before_after,after,,12480369,313395
before_after,after,,13438462,334288
before_after,after,,14350471,355181
before_after,after,,23286339,376074
before_after,after,,19856956,396967
before_after,after,,17490230,417860
before_after,after,,21802926,438753
before_after,after,,23145532,459646
before_after,after,,24851341,480539
before_after,after,,26592254,501432
before_after,after,,22118735,522325
before_after,after,,25199954,543218
before_after,after,,26336200,564111
before_after,after,,24100594,585004
before_after,after,,25066181,605897
before_after,after,,24726902,626790
before_after,after,,32837340,647683
before_after,after,,29904469,668576
before_after,after,,27983853,689469
before_after,after,,27821937,710362
before_after,after,,29154153,731255
before_after,after,,30913421,752148
before_after,after,,35283921,773041
before_after,after,,33913028,793934
before_after,after,,38239472,814827
before_after,after,,32611137,835720
before_after,after,,41621705,856613
before_after,after,,44392468,877506
before_after,after,,44363461,898399
before_after,after,,41169791,919292
before_after,after,,43964708,940185
before_after,after,,46185490,961078
before_after,after,,46611462,981971
before_after,after,,46652731,1002864
before_after,after,,43319240,1023757
before_after,after,,49846194,1044650
before_after,after,,48035154,1065543
before_after,after,,43250256,1086436
before_after,after,,44938978,1107329
before_after,after,,51153334,1128222
before_after,after,,50511729,1149115
before_after,after,,58827926,1170008
before_after,after,,48869139,1190901
before_after,after,,53571535,1211794
before_after,after,,49467224,1232687
before_after,after,,57684252,1253580
before_after,after,,52690661,1274473
before_after,after,,53474901,1295366
before_after,after,,59522424,1316259
before_after,after,,63719567,1337152
before_after,after,,60112209,1358045
before_after,after,,60927704,1378938
before_after,after,,73780915,1399831
before_after,after,,62241092,1420724
before_after,after,,56382800,1441617
before_after,after,,65819267,1462510
before_after,after,,71130190,1483403
before_after,after,,68064689,1504296
before_after,after,,77227962,1525189
before_after,after,,65869951,1546082
before_after,after,,86231419,1566975
before_after,after,,83992999,1587868
before_after,after,,81500725,1608761
before_after,after,,84400195,1629654
before_after,after,,80661413,1650547
before_after,after,,76324541,1671440
before_after,after,,71897760,1692333
before_after,after,,73818369,1713226
before_after,after,,70149205,1734119
before_after,after,,72988270,1755012
before_after,after,,71715017,1775905
before_after,after,,81207655,1796798
before_after,after,,94735442,1817691
before_after,after,,89693199,1838584
before_after,after,,83581013,1859477
before_after,after,,88315116,1880370
before_after,after,,81674352,1901263
before_after,after,,85269057,1922156
before_after,after,,94975226,1943049
before_after,after,,81479608,1963942
before_after,after,,83824355,1984835
before_after,after,,100894198,2005728
before_after,after,,90026277,2026621
before_after,after,,102787812,2047514
before_after,after,,101386426,2068407
before_after,after,,97684290,2089300
