group,function,value,sample_time_nanos,iteration_count
before_after,after,,981277,21856
before_after,after,,1721215,43712
before_after,after,,2581571,65568
before_after,after,,3564562,87424
before_after,after,,4537926,109280
before_after,after,,7047530,131136
before_after,after,,7395714,152992
before_after,after,,9295488,174848
before_after,after,,8210597,196704
before_after,after,,9137615,218560
before_after,after,,10233060,240416
before_after,after,,10772786,262272
before_after,after,,11468105,284128
before_after,after,,12505283,305984
before_after,after,,12940974,327840
before_after,after,,14170829,349696
before_after,after,,19307478,371552
before_after,after,,16549177,393408
before_after,after,,20982118,415264
before_after,after,,17859732,437120
before_after,after,,17727272,458976
before_after,after,,19017762,480832
before_after,after,,20061559,502688
before_after,after,,21805105,524544
before_after,after,,21166946,546400
before_after,after,,23347715,568256
before_after,after,,23364582,590112
before_after,after,,30664711,611968
before_after,after,,32344681,633824
before_after,after,,30965198,655680
before_after,after,,29972175,677536
before_after,after,,35189789,699392
before_after,after,,36930838,721248
before_after,after,,37031140,743104
before_after,after,,39485076,764960
before_after,after,,36338627,786816
before_after,after,,36575643,808672
before_after,after,,33506468,830528
before_after,after,,46237467,852384
before_after,after,,44566569,874240
before_after,after,,37835782,896096
before_after,after,,37513126,917952
before_after,after,,42704196,939808
before_after,after,,37658532,961664
before_after,after,,47651234,983520
before_after,after,,39766318,1005376
before_after,after,,47513856,1027232
before_after,after,,53448781,1049088
before_after,after,,47724243,1070944
before_after,after,,54179803,1092800
before_after,after,,56382481,1114656
before_after,after,,57101884,1136512
before_after,after,,52134698,1158368
before_after,after,,46850320,1180224
before_after,after,,50704726,1202080
before_after,after,,53137218,1223936
before_after,after,,52304411,1245792
before_after,after,,66958592,1267648
before_after,after,,60645492,1289504
before_after,after,,58804312,1311360
before_after,after,,67963931,1333216
before_after,after,,62019524,1355072
before_after,after,,71818128,1376928
before_after,after,,67859779,1398784
before_after,after,,62303051,1420640
before_after,after,,59032666,1442496
before_after,after,,59260998,1464352
before_after,after,,64922328,1486208
before_after,after,,73500842,1508064
before_after,after,,63204184,1529920
before_after,after,,73842830,1551776
before_after,after,,64452915,1573632
before_after,after,,73426076,1595488
before_after,after,,73446561,1617344
before_after,after,,69106156,1639200
before_after,after,,82011365,1661056
before_after,after,,83908413,1682912
before_after,after,,87463377,1704768
before_after,after,,76013475,1726624
before_after,after,,70466921,1748480
before_after,after,,79821624,1770336
before_after,after,,89762940,1792192
before_after,after,,77291006,1814048
before_after,after,,86528849,1835904
before_after,after,,87966409,1857760
before_after,after,,97319662,1879616
before_after,after,,99091132,1901472
before_after,after,,84186194,1923328
before_after,after,,94670991,1945184
before_after,after,,91108340,1967040
before_after,after,,81378783,1988896
before_after,after,,86734935,2010752
before_after,after,,92496482,2032608
before_after,after,,87878300,2054464
before_after,after,,95222450,2076320
before_after,after,,101753647,2098176
before_after,after,,88010434,2120032
before_after,after,,93763587,2141888
before_after,after,,99811495,2163744
before_after,after,,108189316,2185600
