group,function,value,sample_time_nanos,iteration_count
before_after,after_safe,,976990,21310
before_after,after_safe,,1923425,42620
before_after,after_safe,,2743201,63930
before_after,after_safe,,3670450,85240
before_after,after_safe,,5003185,106550
before_after,after_safe,,5504053,127860
before_after,after_safe,,6528669,149170
before_after,after_safe,,7316539,170480
before_after,after_safe,,8618613,191790
before_after,after_safe,,9818051,213100
before_after,after_safe,,13346951,234410
before_after,after_safe,,12978496,255720
before_after,after_safe,,12458994,277030
before_after,after_safe,,13561206,298340
before_after,after_safe,,13781798,319650
before_after,after_safe,,14126556,340960
before_after,after_safe,,15493696,362270
before_after,after_safe,,17754324,383580
before_after,after_safe,,18269384,404890
before_after,after_safe,,18656675,426200
before_after,after_safe,,20339044,447510
before_after,after_safe,,20427965,468820
before_after,after_safe,,20738874,490130
before_after,after_safe,,22708632,511440
before_after,after_safe,,26911365,532750
before_after,after_safe,,25320375,554060
before_after,after_safe,,27474749,575370
before_after,after_safe,,29149182,596680
before_after,after_safe,,28112509,617990
before_after,after_safe,,31510520,639300
before_after,after_safe,,32726227,660610
before_after,after_safe,,30838794,681920
before_after,after_safe,,35744905,703230
before_after,after_safe,,31753964,724540
before_after,after_safe,,36298923,745850
before_after,after_safe,,34180166,767160
before_after,after_safe,,32916022,788470
before_after,after_safe,,40220675,809780
before_after,after_safe,,37286686,831090
before_after,after_safe,,40125740,852400
before_after,after_safe,,42452283,873710
before_after,after_safe,,41470941,895020
before_after,after_safe,,46867577,916330
before_after,after_safe,,41916006,937640
before_after,after_safe,,41022711,958950
before_after,after_safe,,44092220,980260
before_after,after_safe,,42843559,1001570
before_after,after_safe,,49849760,1022880
before_after,after_safe,,46275812,1044190
before_after,after_safe,,51523036,1065500
before_after,after_safe,,48189851,1086810
before_after,after_safe,,47028151,1108120
before_after,after_safe,,51588567,1129430
before_after,after_safe,,50615830,1150740
before_after,after_safe,,51850912,1172050
before_after,after_safe,,53256094,1193360
before_after,after_safe,,57860225,1214670
before_after,after_safe,,52068915,1235980
before_after,after_safe,,61137574,1257290
before_after,after_safe,,58021523,1278600
before_after,after_safe,,59088890,1299910
before_after,after_safe,,66282804,1321220
before_after,after_safe,,63365586,1342530
before_after,after_safe,,65778654,1363840
before_after,after_safe,,67974779,1385150
before_after,after_safe,,69437772,1406460
before_after,after_safe,,69504622,1427770
before_after,after_safe,,69353334,1449080
before_after,after_safe,,71560551,1470390
before_after,after_safe,,74886127,1491700
before_after,after_safe,,69278688,1513010
before_after,after_safe,,71453640,1534320
before_after,after_safe,,72387456,1555630
before_after,after_safe,,71961128,1576940
before_after,after_safe,,76943768,1598250
before_after,after_safe,,76806451,1619560
before_after,after_safe,,72242653,1640870
before_after,after_safe,,73133096,1662180
before_after,after_safe,,73518646,1683490
before_after,after_safe,,81551408,1704800
before_after,after_safe,,78052253,1726110
before_after,after_safe,,79337131,1747420
before_after,after_safe,,89727922,1768730
before_after,after_safe,,79179364,1790040
before_after,after_safe,,86402390,1811350
before_after,after_safe,,79111749,1832660
before_after,after_safe,,86606109,1853970
before_after,after_safe,,86405649,1875280
before_after,after_safe,,87060371,1896590
before_after,after_safe,,93398591,1917900
before_after,after_safe,,86190251,1939210
before_after,after_safe,,87264849,1960520
before_after,after_safe,,88890414,1981830
before_after,after_safe,,96729551,2003140
before_after,after_safe,,91090452,2024450
before_after,after_safe,,97782887,2045760
before_after,after_safe,,98944268,2067070
before_after,after_safe,,93572235,2088380
before_after,after_safe,,99037429,2109690
before_after,after_safe,,94356645,2131000
