group,function,value,sample_time_nanos,iteration_count
before_after,before,,951692,49795
before_after,before,,2255836,99590
before_after,before,,3236973,149385
before_after,before,,4016598,199180
before_after,before,,5261398,248975
before_after,before,,6277101,298770
before_after,before,,6960155,348565
before_after,before,,8577783,398360
before_after,before,,8962065,448155
before_after,before,,10756353,497950
before_after,before,,11338276,547745
before_after,before,,12307034,597540
before_after,before,,13458194,647335
before_after,before,,14434967,697130
before_after,before,,16391108,746925
before_after,before,,15509292,796720
before_after,before,,20015421,846515
before_after,before,,17581568,896310
before_after,before,,21063955,946105
before_after,before,,19744954,995900
before_after,before,,21276841,1045695
before_after,before,,21563120,1095490
before_after,before,,23156757,1145285
before_after,before,,23545228,1195080
before_after,before,,23980706,1244875
before_after,before,,24220877,1294670
before_after,before,,26196765,1344465
before_after,before,,29492191,1394260
before_after,before,,28248749,1444055
before_after,before,,32537041,1493850
before_after,before,,30090032,1543645
before_after,before,,30170429,1593440
before_after,before,,31523985,1643235
before_after,before,,33720027,1693030
before_after,before,,31713149,1742825
before_after,before,,32760939,1792620
before_after,before,,37059969,1842415
before_after,before,,39195307,1892210
before_after,before,,37561953,1942005
before_after,before,,39818301,1991800
before_after,before,,39923895,2041595
before_after,before,,41899283,2091390
before_after,before,,41471024,2141185
before_after,before,,44096312,2190980
before_after,before,,46314316,2240775
before_after,before,,47862896,2290570
before_after,before,,42955349,2340365
before_after,before,,43906786,2390160
before_after,before,,47539315,2439955
before_after,before,,45374357,2489750
before_after,before,,51503922,2539545
before_after,before,,50154494,2589340
before_after,before,,55051994,2639135
before_after,before,,49285918,2688930
before_after,before,,54139709,2738725
before_after,before,,49808856,2788520
before_after,before,,55457316,2838315
before_after,before,,59358183,2888110
before_after,before,,56579525,2937905
before_after,before,,60364477,2987700
before_after,before,,56706840,3037495
before_after,before,,56376934,3087290
before_after,before,,56435006,3137085
before_after,before,,62132910,3186880
before_after,before,,61467836,3236675
before_after,before,,67540341,3286470
before_after,before,,62183572,3336265
before_after,before,,64534301,3386060
before_after,before,,65996826,3435855
before_after,before,,64364615,3485650
before_after,before,,69040141,3535445
before_after,before,,71671189,3585240
before_after,before,,68861785,3635035
before_after,before,,75468954,3684830
before_after,before,,69684607,3734625
before_after,before,,74017541,3784420
before_after,before,,73336017,3834215
before_after,before,,74776567,3884010
before_after,before,,71811354,3933805
before_after,before,,82851308,3983600
before_after,before,,75082153,4033395
before_after,before,,79905159,4083190
before_after,before,,84414042,4132985
before_after,before,,80593714,4182780
before_after,before,,82982407,4232575
before_after,before,,86527655,4282370
before_after,before,,83886467,4332165
before_after,before,,79057671,4381960
before_after,before,,82916380,4431755
before_after,before,,82507891,4481550
before_after,before,,84813014,4531345
before_after,before,,83815304,4581140
before_after,before,,88274142,4630935
before_after,before,,90439967,4680730
before_after,before,,93726976,4730525
before_after,before,,96279165,4780320
before_after,before,,90145330,4830115
before_after,before,,98423238,4879910
before_after,before,,101161271,4929705
before_after,before,,99664112,4979500
