group,function,value,sample_time_nanos,iteration_count
from_angle_axis,,,961826,37388
from_angle_axis,,,1924912,74776
from_angle_axis,,,2908566,112164
from_angle_axis,,,4142479,149552
from_angle_axis,,,4727268,186940
from_angle_axis,,,5528022,224328
from_angle_axis,,,6810145,261716
from_angle_axis,,,7728317,299104
from_angle_axis,,,8676739,336492
from_angle_axis,,,9183535,373880
from_angle_axis,,,13582768,411268
from_angle_axis,,,11387491,448656
from_angle_axis,,,11151329,486044
from_angle_axis,,,12163670,523432
from_angle_axis,,,16106194,560820
from_angle_axis,,,15687273,598208
from_angle_axis,,,19371207,635596
from_angle_axis,,,16254594,672984
from_angle_axis,,,16371575,710372
from_angle_axis,,,18132366,747760
from_angle_axis,,,19211650,785148
from_angle_axis,,,20766574,822536
from_angle_axis,,,26189062,859924
from_angle_axis,,,25154700,897312
from_angle_axis,,,26954501,934700
from_angle_axis,,,25238555,972088
from_angle_axis,,,25692657,1009476
from_angle_axis,,,28453070,1046864
from_angle_axis,,,29234384,1084252
from_angle_axis,,,29931590,1121640
from_angle_axis,,,27911218,1159028
from_angle_axis,,,34191850,1196416
from_angle_axis,,,31071229,1233804
from_angle_axis,,,32581128,1271192
from_angle_axis,,,31362136,1308580
from_angle_axis,,,33192293,1345968
from_angle_axis,,,33856989,1383356
from_angle_axis,,,33243295,1420744
from_angle_axis,,,36209818,1458132
from_angle_axis,,,41126837,1495520
from_angle_axis,,,36002580,1532908
from_angle_axis,,,42887158,1570296
from_angle_axis,,,39777374,1607684
from_angle_axis,,,44050321,1645072
from_angle_axis,,,44736659,1682460
from_angle_axis,,,46098595,1719848
from_angle_axis,,,51179552,1757236
from_angle_axis,,,47808096,1794624
from_angle_axis,,,45480088,1832012
from_angle_axis,,,45499018,1869400
from_angle_axis,,,45632817,1906788
from_angle_axis,,,48702151,1944176
from_angle_axis,,,54821300,1981564
from_angle_axis,,,54299963,2018952
from_angle_axis,,,49122079,2056340
from_angle_axis,,,58083238,2093728
from_angle_axis,,,56088283,2131116
from_angle_axis,,,54733335,2168504
from_angle_axis,,,62478565,2205892
from_angle_axis,,,62806652,2243280
from_angle_axis,,,55555124,2280668
from_angle_axis,,,65126679,2318056
from_angle_axis,,,58257252,2355444
from_angle_axis,,,62376031,2392832
from_angle_axis,,,64212618,2430220
from_angle_axis,,,63016435,2467608
from_angle_axis,,,59906633,2504996
from_angle_axis,,,61468488,2542384
from_angle_axis,,,61798152,2579772
from_angle_axis,,,63702345,2617160
from_angle_axis,,,64506681,2654548
from_angle_axis,,,75005786,2691936
from_angle_axis,,,89411798,2729324
from_angle_axis,,,76119942,2766712
from_angle_axis,,,75680710,2804100
from_angle_axis,,,75972639,2841488
from_angle_axis,,,79994333,2878876
from_angle_axis,,,73859307,2916264
from_angle_axis,,,82229202,2953652
from_angle_axis,,,72852190,2991040
from_angle_axis,,,73112122,3028428
from_angle_axis,,,81762706,3065816
from_angle_axis,,,75823859,3103204
from_angle_axis,,,80791472,3140592
from_angle_axis,,,87960607,3177980
from_angle_axis,,,87049446,3215368
from_angle_axis,,,80295958,3252756
from_angle_axis,,,88364388,3290144
from_angle_axis,,,85361195,3327532
from_angle_axis,,,84618931,3364920
from_angle_axis,,,89529968,3402308
from_angle_axis,,,88041501,3439696
from_angle_axis,,,88171703,3477084
from_angle_axis,,,88518913,3514472
from_angle_axis,,,91107475,3551860
from_angle_axis,,,88025723,3589248
from_angle_axis,,,97309550,3626636
from_angle_axis,,,95004123,3664024
from_angle_axis,,,88612112,3701412
from_angle_axis,,,101880797,3738800
