group,function,value,sample_time_nanos,iteration_count
inverse,,,1032738,182406
inverse,,,1829691,364812
inverse,,,2744350,547218
inverse,,,5861586,729624
inverse,,,4353278,912030
inverse,,,5687968,1094436
inverse,,,9447985,1276842
inverse,,,8901448,1459248
inverse,,,8938717,1641654
inverse,,,11681728,1824060
inverse,,,11066671,2006466
inverse,,,14653798,2188872
inverse,,,13147816,2371278
inverse,,,13232460,2553684
inverse,,,13308567,2736090
inverse,,,14134005,2918496
inverse,,,15663256,3100902
inverse,,,18122526,3283308
inverse,,,20118378,3465714
inverse,,,22329939,3648120
inverse,,,19749865,3830526
inverse,,,20641937,4012932
inverse,,,25868393,4195338
inverse,,,22520760,4377744
inverse,,,23812728,4560150
inverse,,,23358244,4742556
inverse,,,25799776,4924962
inverse,,,26469168,5107368
inverse,,,27314094,5289774
inverse,,,27398493,5472180
inverse,,,30673746,5654586
inverse,,,30852076,5836992
inverse,,,33873537,6019398
inverse,,,33254702,6201804
inverse,,,37762454,6384210
inverse,,,33272152,6566616
inverse,,,35219260,6749022
inverse,,,43525875,6931428
inverse,,,37584794,7113834
inverse,,,37869007,7296240
inverse,,,38294408,7478646
inverse,,,37663201,7661052
inverse,,,40175428,7843458
inverse,,,41720612,8025864
inverse,,,40452038,8208270
inverse,,,42654644,8390676
inverse,,,43173628,8573082
inverse,,,45190197,8755488
inverse,,,46961755,8937894
inverse,,,50282497,9120300
inverse,,,50790916,9302706
inverse,,,51104924,9485112
inverse,,,57818959,9667518
inverse,,,49654438,9849924
inverse,,,55027470,10032330
inverse,,,52641600,10214736
inverse,,,59797329,10397142
inverse,,,58754355,10579548
inverse,,,60285074,10761954
inverse,,,59950731,10944360
inverse,,,60987972,11126766
inverse,,,58986140,11309172
inverse,,,63371680,11491578
inverse,,,65384671,11673984
inverse,,,68609260,11856390
inverse,,,68897947,12038796
inverse,,,67094401,12221202
inverse,,,68618350,12403608
inverse,,,70021706,12586014
inverse,,,71137612,12768420
inverse,,,70363075,12950826
inverse,,,68014685,13133232
inverse,,,77385084,13315638
inverse,,,75686981,13498044
inverse,,,70518324,13680450
inverse,,,77066077,13862856
inverse,,,70195633,14045262
inverse,,,77372903,14227668
inverse,,,73749110,14410074
inverse,,,79177695,14592480
inverse,,,77211708,14774886
inverse,,,81742487,14957292
inverse,,,82046820,15139698
inverse,,,82055289,15322104
inverse,,,77950119,15504510
inverse,,,80292765,15686916
inverse,,,87756831,15869322
inverse,,,86623547,16051728
inverse,,,85543664,16234134
inverse,,,91924155,16416540
inverse,,,89682250,16598946
inverse,,,94276942,16781352
inverse,,,93474315,16963758
inverse,,,93176727,17146164
inverse,,,90311909,17328570
inverse,,,97935238,17510976
inverse,,,97972692,17693382
inverse,,,98463325,17875788
inverse,,,95875800,18058194
inverse,,,96839736,18240600
