group,function,value,sample_time_nanos,iteration_count
inverse,inverse,,958007,167973
inverse,inverse,,1905039,335946
inverse,inverse,,3078565,503919
inverse,inverse,,3369661,671892
inverse,inverse,,4247165,839865
inverse,inverse,,5366175,1007838
inverse,inverse,,7924186,1175811
inverse,inverse,,8003442,1343784
inverse,inverse,,9819365,1511757
inverse,inverse,,9448869,1679730
inverse,inverse,,12287737,1847703
inverse,inverse,,10993711,2015676
inverse,inverse,,11682703,2183649
inverse,inverse,,12174075,2351622
inverse,inverse,,12730679,2519595
inverse,inverse,,14086197,2687568
inverse,inverse,,16359761,2855541
inverse,inverse,,15478904,3023514
inverse,inverse,,16755498,3191487
inverse,inverse,,16881146,3359460
inverse,inverse,,18687176,3527433
inverse,inverse,,21481695,3695406
inverse,inverse,,20492621,3863379
inverse,inverse,,19791594,4031352
inverse,inverse,,22207772,4199325
inverse,inverse,,22408026,4367298
inverse,inverse,,21833653,4535271
inverse,inverse,,26842459,4703244
inverse,inverse,,28033149,4871217
inverse,inverse,,28263461,5039190
inverse,inverse,,29453894,5207163
inverse,inverse,,27388940,5375136
inverse,inverse,,28141666,5543109
inverse,inverse,,30075116,5711082
inverse,inverse,,28906126,5879055
inverse,inverse,,31398152,6047028
inverse,inverse,,36916068,6215001
inverse,inverse,,36840383,6382974
inverse,inverse,,37360978,6550947
inverse,inverse,,38124256,6718920
inverse,inverse,,34498116,6886893
inverse,inverse,,35244670,7054866
inverse,inverse,,37411627,7222839
inverse,inverse,,38168838,7390812
inverse,inverse,,40449824,7558785
inverse,inverse,,40930818,7726758
inverse,inverse,,39763790,7894731
inverse,inverse,,46391533,8062704
inverse,inverse,,43426707,8230677
inverse,inverse,,48684153,8398650
inverse,inverse,,44088914,8566623
inverse,inverse,,46770522,8734596
inverse,inverse,,46006109,8902569
inverse,inverse,,46740410,9070542
inverse,inverse,,54430588,9238515
inverse,inverse,,45982397,9406488
inverse,inverse,,50585505,9574461
inverse,inverse,,54235064,9742434
inverse,inverse,,53919755,9910407
inverse,inverse,,57581287,10078380
inverse,inverse,,54154419,10246353
inverse,inverse,,58043380,10414326
inverse,inverse,,56107009,10582299
inverse,inverse,,58585804,10750272
inverse,inverse,,55900796,10918245
inverse,inverse,,61008799,11086218
inverse,inverse,,62089810,11254191
inverse,inverse,,65928018,11422164
inverse,inverse,,65744708,11590137
inverse,inverse,,66104973,11758110
inverse,inverse,,61741304,11926083
inverse,inverse,,61815104,12094056
inverse,inverse,,66397501,12262029
inverse,inverse,,66014897,12430002
inverse,inverse,,67952796,12597975
inverse,inverse,,68821204,12765948
inverse,inverse,,76140433,12933921
inverse,inverse,,72192646,13101894
inverse,inverse,,71390033,13269867
inverse,inverse,,67732868,13437840
inverse,inverse,,71091682,13605813
inverse,inverse,,71230489,13773786
inverse,inverse,,79047241,13941759
inverse,inverse,,79857505,14109732
inverse,inverse,,78035167,14277705
inverse,inverse,,77202160,14445678
inverse,inverse,,82492735,14613651
inverse,inverse,,80073680,14781624
inverse,inverse,,86690573,14949597
inverse,inverse,,87642685,15117570
inverse,inverse,,78258041,15285543
inverse,inverse,,86786012,15453516
inverse,inverse,,87275188,15621489
inverse,inverse,,86392531,15789462
inverse,inverse,,87948366,15957435
inverse,inverse,,86871133,16125408
inverse,inverse,,88264246,16293381
inverse,inverse,,93952969,16461354
inverse,inverse,,93819346,16629327
inverse,inverse,,92032932,16797300
