group,function,value,sample_time_nanos,iteration_count
inverse,inverse_without_check,,1013890,285754
inverse,inverse_without_check,,1987505,571508
inverse,inverse_without_check,,2996748,857262
inverse,inverse_without_check,,3927865,1143016
inverse,inverse_without_check,,4857749,1428770
inverse,inverse_without_check,,6380973,1714524
inverse,inverse_without_check,,6956812,2000278
inverse,inverse_without_check,,7893781,2286032
inverse,inverse_without_check,,8194600,2571786
inverse,inverse_without_check,,9262079,2857540
inverse,inverse_without_check,,11037556,3143294
inverse,inverse_without_check,,13973495,3429048
inverse,inverse_without_check,,13276848,3714802
inverse,inverse_without_check,,12990159,4000556
inverse,inverse_without_check,,13220590,4286310
inverse,inverse_without_check,,14865108,4572064
inverse,inverse_without_check,,14841162,4857818
inverse,inverse_without_check,,15749593,5143572
inverse,inverse_without_check,,16711813,5429326
inverse,inverse_without_check,,20704145,5715080
inverse,inverse_without_check,,19898199,6000834
inverse,inverse_without_check,,20043518,6286588
inverse,inverse_without_check,,20162262,6572342
inverse,inverse_without_check,,22216178,6858096
inverse,inverse_without_check,,23276093,7143850
inverse,inverse_without_check,,26101902,7429604
inverse,inverse_without_check,,24801347,7715358
inverse,inverse_without_check,,24474142,8001112
inverse,inverse_without_check,,26739317,8286866
inverse,inverse_without_check,,31530518,8572620
inverse,inverse_without_check,,26806772,8858374
inverse,inverse_without_check,,28755483,9144128
inverse,inverse_without_check,,34245730,9429882
inverse,inverse_without_check,,34512640,9715636
inverse,inverse_without_check,,31478317,10001390
inverse,inverse_without_check,,32690615,10287144
inverse,inverse_without_check,,34525533,10572898
inverse,inverse_without_check,,38455495,10858652
inverse,inverse_without_check,,35295937,11144406
inverse,inverse_without_check,,36495752,11430160
inverse,inverse_without_check,,36740287,11715914
inverse,inverse_without_check,,42559506,12001668
inverse,inverse_without_check,,39697750,12287422
inverse,inverse_without_check,,39115219,12573176
inverse,inverse_without_check,,42310973,12858930
inverse,inverse_without_check,,43336624,13144684
inverse,inverse_without_check,,44457355,13430438
inverse,inverse_without_check,,44825361,13716192
inverse,inverse_without_check,,47274985,14001946
inverse,inverse_without_check,,46669874,14287700
inverse,inverse_without_check,,47158089,14573454
inverse,inverse_without_check,,47735060,14859208
inverse,inverse_without_check,,46883010,15144962
inverse,inverse_without_check,,50011197,15430716
inverse,inverse_without_check,,48493427,15716470
inverse,inverse_without_check,,54572764,16002224
inverse,inverse_without_check,,56504403,16287978
inverse,inverse_without_check,,57407481,16573732
inverse,inverse_without_check,,54281414,16859486
inverse,inverse_without_check,,55175512,17145240
inverse,inverse_without_check,,59842208,17430994
inverse,inverse_without_check,,60457126,17716748
inverse,inverse_without_check,,60037208,18002502
inverse,inverse_without_check,,59080109,18288256
inverse,inverse_without_check,,63416369,18574010
inverse,inverse_without_check,,63353875,18859764
inverse,inverse_without_check,,65184623,19145518
inverse,inverse_without_check,,62875852,19431272
inverse,inverse_without_check,,67964143,19717026
inverse,inverse_without_check,,64771943,20002780
inverse,inverse_without_check,,67725129,20288534
inverse,inverse_without_check,,68660098,20574288
inverse,inverse_without_check,,70548151,20860042
inverse,inverse_without_check,,75156198,21145796
inverse,inverse_without_check,,69425531,21431550
inverse,inverse_without_check,,68024928,21717304
inverse,inverse_without_check,,69410527,22003058
inverse,inverse_without_check,,71070832,22288812
inverse,inverse_without_check,,72121320,22574566
inverse,inverse_without_check,,82593893,22860320
inverse,inverse_without_check,,76909085,23146074
inverse,inverse_without_check,,76362897,23431828
inverse,inverse_without_check,,79082089,23717582
inverse,inverse_without_check,,79127369,24003336
inverse,inverse_without_check,,81078567,24289090
inverse,inverse_without_check,,80841538,24574844
inverse,inverse_without_check,,87343549,24860598
inverse,inverse_without_check,,83767345,25146352
inverse,inverse_without_check,,84446201,25432106
inverse,inverse_without_check,,85378557,25717860
inverse,inverse_without_check,,89953223,26003614
inverse,inverse_without_check,,87917948,26289368
inverse,inverse_without_check,,92218064,26575122
inverse,inverse_without_check,,88051893,26860876
inverse,inverse_without_check,,90130753,27146630
inverse,inverse_without_check,,91059865,27432384
inverse,inverse_without_check,,88396740,27718138
inverse,inverse_without_check,,93506673,28003892
inverse,inverse_without_check,,94802935,28289646
inverse,inverse_without_check,,97333682,28575400
