group,function,value,sample_time_nanos,iteration_count
quaternion::rotate_vector,rotate_vector,,971762,104127
quaternion::rotate_vector,rotate_vector,,1820408,208254
quaternion::rotate_vector,rotate_vector,,2729875,312381
quaternion::rotate_vector,rotate_vector,,3819529,416508
quaternion::rotate_vector,rotate_vector,,4745323,520635
quaternion::rotate_vector,rotate_vector,,5381854,624762
quaternion::rotate_vector,rotate_vector,,7767791,728889
quaternion::rotate_vector,rotate_vector,,9267620,833016
quaternion::rotate_vector,rotate_vector,,9186288,937143
quaternion::rotate_vector,rotate_vector,,10213074,1041270
quaternion::rotate_vector,rotate_vector,,11099489,1145397
quaternion::rotate_vector,rotate_vector,,11335431,1249524
quaternion::rotate_vector,rotate_vector,,11490652,1353651
quaternion::rotate_vector,rotate_vector,,12739684,1457778
quaternion::rotate_vector,rotate_vector,,17283433,1561905
quaternion::rotate_vector,rotate_vector,,17634858,1666032
quaternion::rotate_vector,rotate_vector,,17635696,1770159
quaternion::rotate_vector,rotate_vector,,16539028,1874286
quaternion::rotate_vector,rotate_vector,,17712206,1978413
quaternion::rotate_vector,rotate_vector,,19016681,2082540
quaternion::rotate_vector,rotate_vector,,20246888,2186667
quaternion::rotate_vector,rotate_vector,,21554298,2290794
quaternion::rotate_vector,rotate_vector,,26125330,2394921
quaternion::rotate_vector,rotate_vector,,22347864,2499048
quaternion::rotate_vector,rotate_vector,,22439295,2603175
quaternion::rotate_vector,rotate_vector,,26399051,2707302
quaternion::rotate_vector,rotate_vector,,27119612,2811429
quaternion::rotate_vector,rotate_vector,,25717634,2915556
quaternion::rotate_vector,rotate_vector,,25446106,3019683
quaternion::rotate_vector,rotate_vector,,27528617,3123810
quaternion::rotate_vector,rotate_vector,,31978231,3227937
quaternion::rotate_vector,rotate_vector,,30868101,3332064
quaternion::rotate_vector,rotate_vector,,29782781,3436191
quaternion::rotate_vector,rotate_vector,,32323766,3540318
quaternion::rotate_vector,rotate_vector,,33238635,3644445
quaternion::rotate_vector,rotate_vector,,40996121,3748572
quaternion::rotate_vector,rotate_vector,,46226651,3852699
quaternion::rotate_vector,rotate_vector,,40919710,3956826
quaternion::rotate_vector,rotate_vector,,43328804,4060953
quaternion::rotate_vector,rotate_vector,,42625334,4165080
quaternion::rotate_vector,rotate_vector,,40400467,4269207
quaternion::rotate_vector,rotate_vector,,38860389,4373334
quaternion::rotate_vector,rotate_vector,,43719964,4477461
quaternion::rotate_vector,rotate_vector,,41092097,4581588
quaternion::rotate_vector,rotate_vector,,46294260,4685715
quaternion::rotate_vector,rotate_vector,,50750952,4789842
quaternion::rotate_vector,rotate_vector,,49109738,4893969
quaternion::rotate_vector,rotate_vector,,47614274,4998096
quaternion::rotate_vector,rotate_vector,,52045532,5102223
quaternion::rotate_vector,rotate_vector,,53684718,5206350
quaternion::rotate_vector,rotate_vector,,53223952,5310477
quaternion::rotate_vector,rotate_vector,,54059972,5414604
quaternion::rotate_vector,rotate_vector,,51236797,5518731
quaternion::rotate_vector,rotate_vector,,54864030,5622858
quaternion::rotate_vector,rotate_vector,,51489681,5726985
quaternion::rotate_vector,rotate_vector,,57169660,5831112
quaternion::rotate_vector,rotate_vector,,53889600,5935239
quaternion::rotate_vector,rotate_vector,,59554923,6039366
quaternion::rotate_vector,rotate_vector,,60361683,6143493
quaternion::rotate_vector,rotate_vector,,54332067,6247620
quaternion::rotate_vector,rotate_vector,,64777259,6351747
quaternion::rotate_vector,rotate_vector,,57922086,6455874
quaternion::rotate_vector,rotate_vector,,56345606,6560001
quaternion::rotate_vector,rotate_vector,,63953914,6664128
quaternion::rotate_vector,rotate_vector,,70185991,6768255
quaternion::rotate_vector,rotate_vector,,67266566,6872382
quaternion::rotate_vector,rotate_vector,,68771545,6976509
quaternion::rotate_vector,rotate_vector,,63465158,7080636
quaternion::rotate_vector,rotate_vector,,70201459,7184763
quaternion::rotate_vector,rotate_vector,,68903760,7288890
quaternion::rotate_vector,rotate_vector,,77033304,7393017
quaternion::rotate_vector,rotate_vector,,76850813,7497144
quaternion::rotate_vector,rotate_vector,,67622241,7601271
quaternion::rotate_vector,rotate_vector,,70538828,7705398
quaternion::rotate_vector,rotate_vector,,73688869,7809525
quaternion::rotate_vector,rotate_vector,,79199006,7913652
quaternion::rotate_vector,rotate_vector,,74741210,8017779
quaternion::rotate_vector,rotate_vector,,71999238,8121906
quaternion::rotate_vector,rotate_vector,,84269090,8226033
quaternion::rotate_vector,rotate_vector,,80686656,8330160
quaternion::rotate_vector,rotate_vector,,79546498,8434287
quaternion::rotate_vector,rotate_vector,,83679733,8538414
quaternion::rotate_vector,rotate_vector,,85074703,8642541
quaternion::rotate_vector,rotate_vector,,78095395,8746668
quaternion::rotate_vector,rotate_vector,,82771349,8850795
quaternion::rotate_vector,rotate_vector,,86074945,8954922
quaternion::rotate_vector,rotate_vector,,85664214,9059049
quaternion::rotate_vector,rotate_vector,,83458898,9163176
quaternion::rotate_vector,rotate_vector,,85093280,9267303
quaternion::rotate_vector,rotate_vector,,86077393,9371430
quaternion::rotate_vector,rotate_vector,,96484267,9475557
quaternion::rotate_vector,rotate_vector,,90615162,9579684
quaternion::rotate_vector,rotate_vector,,88970609,9683811
quaternion::rotate_vector,rotate_vector,,87976626,9787938
quaternion::rotate_vector,rotate_vector,,92650895,9892065
quaternion::rotate_vector,rotate_vector,,90605155,9996192
quaternion::rotate_vector,rotate_vector,,93344108,10100319
quaternion::rotate_vector,rotate_vector,,95667380,10204446
quaternion::rotate_vector,rotate_vector,,103151719,10308573
quaternion::rotate_vector,rotate_vector,,98897505,10412700
