group,function,value,sample_time_nanos,iteration_count
quaternion:angle_axis,angle_axis,,1158191,23399
quaternion:angle_axis,angle_axis,,2318547,46798
quaternion:angle_axis,angle_axis,,2943197,70197
quaternion:angle_axis,angle_axis,,3893422,93596
quaternion:angle_axis,angle_axis,,4855678,116995
quaternion:angle_axis,angle_axis,,5589431,140394
quaternion:angle_axis,angle_axis,,6130860,163793
quaternion:angle_axis,angle_axis,,7805591,187192
quaternion:angle_axis,angle_axis,,8571619,210591
quaternion:angle_axis,angle_axis,,10522473,233990
quaternion:angle_axis,angle_axis,,11092413,257389
quaternion:angle_axis,angle_axis,,11907372,280788
quaternion:angle_axis,angle_axis,,12267558,304187
quaternion:angle_axis,angle_axis,,17134805,327586
quaternion:angle_axis,angle_axis,,14272973,350985
quaternion:angle_axis,angle_axis,,15762931,374384
quaternion:angle_axis,angle_axis,,19160665,397783
quaternion:angle_axis,angle_axis,,17236065,421182
quaternion:angle_axis,angle_axis,,22397816,444581
quaternion:angle_axis,angle_axis,,20511515,467980
quaternion:angle_axis,angle_axis,,22526987,491379
quaternion:angle_axis,angle_axis,,22367976,514778
quaternion:angle_axis,angle_axis,,22369006,538177
quaternion:angle_axis,angle_axis,,23210867,561576
quaternion:angle_axis,angle_axis,,22355992,584975
quaternion:angle_axis,angle_axis,,23194162,608374
quaternion:angle_axis,angle_axis,,29832249,631773
quaternion:angle_axis,angle_axis,,26653789,655172
quaternion:angle_axis,angle_axis,,26727261,678571
quaternion:angle_axis,angle_axis,,27731215,701970
quaternion:angle_axis,angle_axis,,29060197,725369
quaternion:angle_axis,angle_axis,,30582743,748768
quaternion:angle_axis,angle_axis,,30639971,772167
quaternion:angle_axis,angle_axis,,31947099,795566
quaternion:angle_axis,angle_axis,,32822294,818965
quaternion:angle_axis,angle_axis,,39662661,842364
quaternion:angle_axis,angle_axis,,35061379,865763
quaternion:angle_axis,angle_axis,,40319407,889162
quaternion:angle_axis,angle_axis,,35652517,912561
quaternion:angle_axis,angle_axis,,41220965,935960
quaternion:angle_axis,angle_axis,,40950654,959359
quaternion:angle_axis,angle_axis,,43806692,982758
quaternion:angle_axis,angle_axis,,40302669,1006157
quaternion:angle_axis,angle_axis,,39797237,1029556
quaternion:angle_axis,angle_axis,,46138347,1052955
quaternion:angle_axis,angle_axis,,43427552,1076354
quaternion:angle_axis,angle_axis,,42621031,1099753
quaternion:angle_axis,angle_axis,,47082685,1123152
quaternion:angle_axis,angle_axis,,46029427,1146551
quaternion:angle_axis,angle_axis,,47387861,1169950
quaternion:angle_axis,angle_axis,,48058969,1193349
quaternion:angle_axis,angle_axis,,48881268,1216748
quaternion:angle_axis,angle_axis,,51591077,1240147
quaternion:angle_axis,angle_axis,,54912894,1263546
quaternion:angle_axis,angle_axis,,54791815,1286945
quaternion:angle_axis,angle_axis,,55131782,1310344
quaternion:angle_axis,angle_axis,,71703504,1333743
quaternion:angle_axis,angle_axis,,58570849,1357142
quaternion:angle_axis,angle_axis,,54775463,1380541
quaternion:angle_axis,angle_axis,,58590500,1403940
quaternion:angle_axis,angle_axis,,56583677,1427339
quaternion:angle_axis,angle_axis,,61859399,1450738
quaternion:angle_axis,angle_axis,,63966327,1474137
quaternion:angle_axis,angle_axis,,60695196,1497536
quaternion:angle_axis,angle_axis,,61135264,1520935
quaternion:angle_axis,angle_axis,,66861839,1544334
quaternion:angle_axis,angle_axis,,67889220,1567733
quaternion:angle_axis,angle_axis,,68583147,1591132
quaternion:angle_axis,angle_axis,,68532070,1614531
quaternion:angle_axis,angle_axis,,66378920,1637930
quaternion:angle_axis,angle_axis,,75346111,1661329
quaternion:angle_axis,angle_axis,,72607639,1684728
quaternion:angle_axis,angle_axis,,74206581,1708127
quaternion:angle_axis,angle_axis,,73069863,1731526
quaternion:angle_axis,angle_axis,,74701498,1754925
quaternion:angle_axis,angle_axis,,70042216,1778324
quaternion:angle_axis,angle_axis,,72004157,1801723
quaternion:angle_axis,angle_axis,,75392507,1825122
quaternion:angle_axis,angle_axis,,74641471,1848521
quaternion:angle_axis,angle_axis,,78840244,1871920
quaternion:angle_axis,angle_axis,,79726260,1895319
quaternion:angle_axis,angle_axis,,75980585,1918718
quaternion:angle_axis,angle_axis,,84595960,1942117
quaternion:angle_axis,angle_axis,,86856007,1965516
quaternion:angle_axis,angle_axis,,81019411,1988915
quaternion:angle_axis,angle_axis,,85949344,2012314
quaternion:angle_axis,angle_axis,,82697150,2035713
quaternion:angle_axis,angle_axis,,85758697,2059112
quaternion:angle_axis,angle_axis,,92366304,2082511
quaternion:angle_axis,angle_axis,,91609154,2105910
quaternion:angle_axis,angle_axis,,110231134,2129309
quaternion:angle_axis,angle_axis,,92099041,2152708
quaternion:angle_axis,angle_axis,,87292750,2176107
quaternion:angle_axis,angle_axis,,92038191,2199506
quaternion:angle_axis,angle_axis,,95477656,2222905
quaternion:angle_axis,angle_axis,,93363899,2246304
quaternion:angle_axis,angle_axis,,99435580,2269703
quaternion:angle_axis,angle_axis,,98188418,2293102
quaternion:angle_axis,angle_axis,,93703520,2316501
quaternion:angle_axis,angle_axis,,96356855,2339900
