group,function,value,sample_time_nanos,iteration_count
quaternion:before_after,after,,979062,23020
quaternion:before_after,after,,1869365,46040
quaternion:before_after,after,,2791145,69060
quaternion:before_after,after,,3741559,92080
quaternion:before_after,after,,4454647,115100
quaternion:before_after,after,,5253928,138120
quaternion:before_after,after,,6753862,161140
quaternion:before_after,after,,7331030,184160
quaternion:before_after,after,,9594113,207180
quaternion:before_after,after,,9767131,230200
quaternion:before_after,after,,10365066,253220
quaternion:before_after,after,,11631038,276240
quaternion:before_after,after,,15015842,299260
quaternion:before_after,after,,13765381,322280
quaternion:before_after,after,,14408491,345300
quaternion:before_after,after,,14828547,368320
quaternion:before_after,after,,15268587,391340
quaternion:before_after,after,,16175789,414360
quaternion:before_after,after,,21901055,437380
quaternion:before_after,after,,19883552,460400
quaternion:before_after,after,,20304229,483420
quaternion:before_after,after,,21270335,506440
quaternion:before_after,after,,20785713,529460
quaternion:before_after,after,,22130109,552480
quaternion:before_after,after,,23296531,575500
quaternion:before_after,after,,28829178,598520
quaternion:before_after,after,,24134191,621540
quaternion:before_after,after,,26557500,644560
quaternion:before_after,after,,27009687,667580
quaternion:before_after,after,,30201240,690600
quaternion:before_after,after,,28294394,713620
quaternion:before_after,after,,30180326,736640
quaternion:before_after,after,,36467792,759660
quaternion:before_after,after,,33951462,782680
quaternion:before_after,after,,36880808,805700
quaternion:before_after,after,,34322622,828720
quaternion:before_after,after,,34603071,851740
quaternion:before_after,after,,35162594,874760
quaternion:before_after,after,,36562769,897780
quaternion:before_after,after,,35379591,920800
quaternion:before_after,after,,38603472,943820
quaternion:before_after,after,,39573269,966840
quaternion:before_after,after,,39037361,989860
quaternion:before_after,after,,45441909,1012880
quaternion:before_after,after,,45408192,1035900
quaternion:before_after,after,,43863335,1058920
quaternion:before_after,after,,48008570,1081940
quaternion:before_after,after,,44342087,1104960
quaternion:before_after,after,,49176670,1127980
quaternion:before_after,after,,50464486,1151000
quaternion:before_after,after,,49980014,1174020
quaternion:before_after,after,,46158917,1197040
quaternion:before_after,after,,49516478,1220060
quaternion:before_after,after,,49814325,1243080
quaternion:before_after,after,,54137843,1266100
quaternion:before_after,after,,54422882,1289120
quaternion:before_after,after,,57144386,1312140
quaternion:before_after,after,,53493597,1335160
quaternion:before_after,after,,59766889,1358180
quaternion:before_after,after,,55551537,1381200
quaternion:before_after,after,,60685807,1404220
quaternion:before_after,after,,56894804,1427240
quaternion:before_after,after,,64152684,1450260
quaternion:before_after,after,,59927923,1473280
quaternion:before_after,after,,69391138,1496300
quaternion:before_after,after,,67307243,1519320
quaternion:before_after,after,,65128757,1542340
quaternion:before_after,after,,67322982,1565360
quaternion:before_after,after,,72179837,1588380
quaternion:before_after,after,,63567816,1611400
quaternion:before_after,after,,71135993,1634420
quaternion:before_after,after,,68404946,1657440
quaternion:before_after,after,,70697696,1680460
quaternion:before_after,after,,72740162,1703480
quaternion:before_after,after,,70765119,1726500
quaternion:before_after,after,,69572003,1749520
quaternion:before_after,after,,76218060,1772540
quaternion:before_after,after,,75822000,1795560
quaternion:before_after,after,,82464150,1818580
quaternion:before_after,after,,79064050,1841600
quaternion:before_after,after,,82658007,1864620
quaternion:before_after,after,,78434111,1887640
quaternion:before_after,after,,75952864,1910660
quaternion:before_after,after,,78345979,1933680
quaternion:before_after,after,,79593427,1956700
quaternion:before_after,after,,82499160,1979720
quaternion:before_after,after,,84449793,2002740
quaternion:before_after,after,,85868949,2025760
quaternion:before_after,after,,87293108,2048780
quaternion:before_after,after,,84275031,2071800
quaternion:before_after,after,,90371705,2094820
quaternion:before_after,after,,89739331,2117840
quaternion:before_after,after,,87957682,2140860
quaternion:before_after,after,,92380888,2163880
quaternion:before_after,after,,97161528,2186900
quaternion:before_after,after,,110596040,2209920
quaternion:before_after,after,,103770757,2232940
quaternion:before_after,after,,96290964,2255960
quaternion:before_after,after,,96655820,2278980
quaternion:before_after,after,,128255618,2302000
