group,function,value,sample_time_nanos,iteration_count
quaternion:before_after,before,,1011350,50766
quaternion:before_after,before,,1742280,101532
quaternion:before_after,before,,2697451,152298
quaternion:before_after,before,,3665354,203064
quaternion:before_after,before,,4614247,253830
quaternion:before_after,before,,5318315,304596
quaternion:before_after,before,,6409270,355362
quaternion:before_after,before,,7185193,406128
quaternion:before_after,before,,9081007,456894
quaternion:before_after,before,,10338144,507660
quaternion:before_after,before,,12387841,558426
quaternion:before_after,before,,13206457,609192
quaternion:before_after,before,,12382968,659958
quaternion:before_after,before,,12641577,710724
quaternion:before_after,before,,14443607,761490
quaternion:before_after,before,,18043252,812256
quaternion:before_after,before,,17560923,863022
quaternion:before_after,before,,16588934,913788
quaternion:before_after,before,,18187534,964554
quaternion:before_after,before,,18429303,1015320
quaternion:before_after,before,,18586417,1066086
quaternion:before_after,before,,20229730,1116852
quaternion:before_after,before,,22055758,1167618
quaternion:before_after,before,,22374060,1218384
quaternion:before_after,before,,22509015,1269150
quaternion:before_after,before,,25270383,1319916
quaternion:before_after,before,,27889168,1370682
quaternion:before_after,before,,30165345,1421448
quaternion:before_after,before,,26924433,1472214
quaternion:before_after,before,,26620360,1522980
quaternion:before_after,before,,28820598,1573746
quaternion:before_after,before,,33429639,1624512
quaternion:before_after,before,,32934057,1675278
quaternion:before_after,before,,32779687,1726044
quaternion:before_after,before,,37479675,1776810
quaternion:before_after,before,,37880317,1827576
quaternion:before_after,before,,35285226,1878342
quaternion:before_after,before,,39269928,1929108
quaternion:before_after,before,,41156687,1979874
quaternion:before_after,before,,38062651,2030640
quaternion:before_after,before,,38321141,2081406
quaternion:before_after,before,,43139736,2132172
quaternion:before_after,before,,44469848,2182938
quaternion:before_after,before,,40897567,2233704
quaternion:before_after,before,,42351036,2284470
quaternion:before_after,before,,47775766,2335236
quaternion:before_after,before,,45678875,2386002
quaternion:before_after,before,,45662706,2436768
quaternion:before_after,before,,44103298,2487534
quaternion:before_after,before,,51086267,2538300
quaternion:before_after,before,,47066959,2589066
quaternion:before_after,before,,54216745,2639832
quaternion:before_after,before,,53702918,2690598
quaternion:before_after,before,,52004800,2741364
quaternion:before_after,before,,51019305,2792130
quaternion:before_after,before,,55859527,2842896
quaternion:before_after,before,,61337973,2893662
quaternion:before_after,before,,58840805,2944428
quaternion:before_after,before,,60117950,2995194
quaternion:before_after,before,,55993087,3045960
quaternion:before_after,before,,58318646,3096726
quaternion:before_after,before,,59775684,3147492
quaternion:before_after,before,,61483300,3198258
quaternion:before_after,before,,60252942,3249024
quaternion:before_after,before,,66710478,3299790
quaternion:before_after,before,,61947162,3350556
quaternion:before_after,before,,67302035,3401322
quaternion:before_after,before,,61507421,3452088
quaternion:before_after,before,,67568852,3502854
quaternion:before_after,before,,71163377,3553620
quaternion:before_after,before,,70483249,3604386
quaternion:before_after,before,,72855396,3655152
quaternion:before_after,before,,71267442,3705918
quaternion:before_after,before,,69236499,3756684
quaternion:before_after,before,,69007350,3807450
quaternion:before_after,before,,72357133,3858216
quaternion:before_after,before,,69622951,3908982
quaternion:before_after,before,,79494271,3959748
quaternion:before_after,before,,81391011,4010514
quaternion:before_after,before,,78294199,4061280
quaternion:before_after,before,,78745630,4112046
quaternion:before_after,before,,85106360,4162812
quaternion:before_after,before,,113822246,4213578
quaternion:before_after,before,,86769454,4264344
quaternion:before_after,before,,85626133,4315110
quaternion:before_after,before,,83322541,4365876
quaternion:before_after,before,,80323427,4416642
quaternion:before_after,before,,87795525,4467408
quaternion:before_after,before,,86966326,4518174
quaternion:before_after,before,,89793855,4568940
quaternion:before_after,before,,93325385,4619706
quaternion:before_after,before,,90107780,4670472
quaternion:before_after,before,,96879218,4721238
quaternion:before_after,before,,86491993,4772004
quaternion:before_after,before,,95629188,4822770
quaternion:before_after,before,,95563122,4873536
quaternion:before_after,before,,99207329,4924302
quaternion:before_after,before,,90723877,4975068
quaternion:before_after,before,,93126116,5025834
quaternion:before_after,before,,98486313,5076600
