group,function,value,sample_time_nanos,iteration_count
quaternion:inverse,inverse,,972077,180891
quaternion:inverse,inverse,,1817159,361782
quaternion:inverse,inverse,,2723021,542673
quaternion:inverse,inverse,,4546189,723564
quaternion:inverse,inverse,,5014160,904455
quaternion:inverse,inverse,,5590940,1085346
quaternion:inverse,inverse,,6600944,1266237
quaternion:inverse,inverse,,7227657,1447128
quaternion:inverse,inverse,,8788742,1628019
quaternion:inverse,inverse,,10731286,1808910
quaternion:inverse,inverse,,12820196,1989801
quaternion:inverse,inverse,,12162120,2170692
quaternion:inverse,inverse,,11540145,2351583
quaternion:inverse,inverse,,12589725,2532474
quaternion:inverse,inverse,,14675582,2713365
quaternion:inverse,inverse,,18654465,2894256
quaternion:inverse,inverse,,16104423,3075147
quaternion:inverse,inverse,,16681804,3256038
quaternion:inverse,inverse,,21212930,3436929
quaternion:inverse,inverse,,18666403,3617820
quaternion:inverse,inverse,,22864309,3798711
quaternion:inverse,inverse,,20920076,3979602
quaternion:inverse,inverse,,21568494,4160493
quaternion:inverse,inverse,,25614255,4341384
quaternion:inverse,inverse,,28025034,4522275
quaternion:inverse,inverse,,25151223,4703166
quaternion:inverse,inverse,,25608387,4884057
quaternion:inverse,inverse,,29476121,5064948
quaternion:inverse,inverse,,30670240,5245839
quaternion:inverse,inverse,,29382489,5426730
quaternion:inverse,inverse,,31340750,5607621
quaternion:inverse,inverse,,32917823,5788512
quaternion:inverse,inverse,,31477637,5969403
quaternion:inverse,inverse,,32316571,6150294
quaternion:inverse,inverse,,35290787,6331185
quaternion:inverse,inverse,,34033608,6512076
quaternion:inverse,inverse,,34185287,6692967
quaternion:inverse,inverse,,42592159,6873858
quaternion:inverse,inverse,,40045544,7054749
quaternion:inverse,inverse,,37345195,7235640
quaternion:inverse,inverse,,36570611,7416531
quaternion:inverse,inverse,,39455204,7597422
quaternion:inverse,inverse,,37835997,7778313
quaternion:inverse,inverse,,45986515,7959204
quaternion:inverse,inverse,,42939744,8140095
quaternion:inverse,inverse,,45733912,8320986
quaternion:inverse,inverse,,45709749,8501877
quaternion:inverse,inverse,,44618518,8682768
quaternion:inverse,inverse,,44565303,8863659
quaternion:inverse,inverse,,49487475,9044550
quaternion:inverse,inverse,,50859389,9225441
quaternion:inverse,inverse,,48644852,9406332
quaternion:inverse,inverse,,56129568,9587223
quaternion:inverse,inverse,,53301194,9768114
quaternion:inverse,inverse,,60196704,9949005
quaternion:inverse,inverse,,56283652,10129896
quaternion:inverse,inverse,,54987001,10310787
quaternion:inverse,inverse,,62982003,10491678
quaternion:inverse,inverse,,57650228,10672569
quaternion:inverse,inverse,,58144546,10853460
quaternion:inverse,inverse,,56888021,11034351
quaternion:inverse,inverse,,59549540,11215242
quaternion:inverse,inverse,,61415203,11396133
quaternion:inverse,inverse,,63220279,11577024
quaternion:inverse,inverse,,65723234,11757915
quaternion:inverse,inverse,,61265651,11938806
quaternion:inverse,inverse,,71393621,12119697
quaternion:inverse,inverse,,70136821,12300588
quaternion:inverse,inverse,,69302756,12481479
quaternion:inverse,inverse,,70125470,12662370
quaternion:inverse,inverse,,74398918,12843261
quaternion:inverse,inverse,,72069760,13024152
quaternion:inverse,inverse,,75120400,13205043
quaternion:inverse,inverse,,68621606,13385934
quaternion:inverse,inverse,,69097762,13566825
quaternion:inverse,inverse,,74322126,13747716
quaternion:inverse,inverse,,76553621,13928607
quaternion:inverse,inverse,,77791077,14109498
quaternion:inverse,inverse,,71779340,14290389
quaternion:inverse,inverse,,73367673,14471280
quaternion:inverse,inverse,,79571727,14652171
quaternion:inverse,inverse,,75704268,14833062
quaternion:inverse,inverse,,80100578,15013953
quaternion:inverse,inverse,,83853892,15194844
quaternion:inverse,inverse,,88557195,15375735
quaternion:inverse,inverse,,82843074,15556626
quaternion:inverse,inverse,,86128178,15737517
quaternion:inverse,inverse,,90472508,15918408
quaternion:inverse,inverse,,82287828,16099299
quaternion:inverse,inverse,,91265124,16280190
quaternion:inverse,inverse,,90470292,16461081
quaternion:inverse,inverse,,87393008,16641972
quaternion:inverse,inverse,,85315293,16822863
quaternion:inverse,inverse,,90522138,17003754
quaternion:inverse,inverse,,98914428,17184645
quaternion:inverse,inverse,,90872801,17365536
quaternion:inverse,inverse,,95014157,17546427
quaternion:inverse,inverse,,94834562,17727318
quaternion:inverse,inverse,,99138159,17908209
quaternion:inverse,inverse,,98265451,18089100
