group,function,value,sample_time_nanos,iteration_count
quaternion:inverse,inverse,,870395,167239
quaternion:inverse,inverse,,1678345,334478
quaternion:inverse,inverse,,2516122,501717
quaternion:inverse,inverse,,3356558,668956
quaternion:inverse,inverse,,4148561,836195
quaternion:inverse,inverse,,5022797,1003434
quaternion:inverse,inverse,,5674299,1170673
quaternion:inverse,inverse,,6471045,1337912
quaternion:inverse,inverse,,8339182,1505151
quaternion:inverse,inverse,,8269313,1672390
quaternion:inverse,inverse,,13002652,1839629
quaternion:inverse,inverse,,11090052,2006868
quaternion:inverse,inverse,,12438826,2174107
quaternion:inverse,inverse,,13810941,2341346
quaternion:inverse,inverse,,12829430,2508585
quaternion:inverse,inverse,,12941632,2675824
quaternion:inverse,inverse,,13645948,2843063
quaternion:inverse,inverse,,18835145,3010302
quaternion:inverse,inverse,,18434305,3177541
quaternion:inverse,inverse,,20076013,3344780
quaternion:inverse,inverse,,17256543,3512019
quaternion:inverse,inverse,,17995638,3679258
quaternion:inverse,inverse,,19567274,3846497
quaternion:inverse,inverse,,20057485,4013736
quaternion:inverse,inverse,,21637667,4180975
quaternion:inverse,inverse,,22200522,4348214
quaternion:inverse,inverse,,27400652,4515453
quaternion:inverse,inverse,,28112449,4682692
quaternion:inverse,inverse,,26000804,4849931
quaternion:inverse,inverse,,25204688,5017170
quaternion:inverse,inverse,,26080007,5184409
quaternion:inverse,inverse,,31680390,5351648
quaternion:inverse,inverse,,30072301,5518887
quaternion:inverse,inverse,,28746913,5686126
quaternion:inverse,inverse,,33001967,5853365
quaternion:inverse,inverse,,31195172,6020604
quaternion:inverse,inverse,,31769232,6187843
quaternion:inverse,inverse,,32111584,6355082
quaternion:inverse,inverse,,33892717,6522321
quaternion:inverse,inverse,,34265360,6689560
quaternion:inverse,inverse,,39231655,6856799
quaternion:inverse,inverse,,41041945,7024038
quaternion:inverse,inverse,,41605900,7191277
quaternion:inverse,inverse,,41826397,7358516
quaternion:inverse,inverse,,42473165,7525755
quaternion:inverse,inverse,,42167698,7692994
quaternion:inverse,inverse,,47115257,7860233
quaternion:inverse,inverse,,49904826,8027472
quaternion:inverse,inverse,,46007692,8194711
quaternion:inverse,inverse,,43100182,8361950
quaternion:inverse,inverse,,42389266,8529189
quaternion:inverse,inverse,,48188851,8696428
quaternion:inverse,inverse,,49835419,8863667
quaternion:inverse,inverse,,51624854,9030906
quaternion:inverse,inverse,,49320297,9198145
quaternion:inverse,inverse,,50073563,9365384
quaternion:inverse,inverse,,55055807,9532623
quaternion:inverse,inverse,,53824748,9699862
quaternion:inverse,inverse,,58432974,9867101
quaternion:inverse,inverse,,51954910,10034340
quaternion:inverse,inverse,,50800285,10201579
quaternion:inverse,inverse,,56930942,10368818
quaternion:inverse,inverse,,58696841,10536057
quaternion:inverse,inverse,,59137757,10703296
quaternion:inverse,inverse,,59752011,10870535
quaternion:inverse,inverse,,60520585,11037774
quaternion:inverse,inverse,,55282807,11205013
quaternion:inverse,inverse,,58030348,11372252
quaternion:inverse,inverse,,59276191,11539491
quaternion:inverse,inverse,,60072668,11706730
quaternion:inverse,inverse,,61785848,11873969
quaternion:inverse,inverse,,67410010,12041208
quaternion:inverse,inverse,,69979038,12208447
quaternion:inverse,inverse,,68374542,12375686
quaternion:inverse,inverse,,64855550,12542925
quaternion:inverse,inverse,,72806429,12710164
quaternion:inverse,inverse,,70974862,12877403
quaternion:inverse,inverse,,66625261,13044642
quaternion:inverse,inverse,,76072790,13211881
quaternion:inverse,inverse,,72492355,13379120
quaternion:inverse,inverse,,73228198,13546359
quaternion:inverse,inverse,,79890816,13713598
quaternion:inverse,inverse,,75639633,13880837
quaternion:inverse,inverse,,72454471,14048076
quaternion:inverse,inverse,,105185514,14215315
quaternion:inverse,inverse,,76694720,14382554
quaternion:inverse,inverse,,79202958,14549793
quaternion:inverse,inverse,,76969322,14717032
quaternion:inverse,inverse,,78847950,14884271
quaternion:inverse,inverse,,81614403,15051510
quaternion:inverse,inverse,,80363239,15218749
quaternion:inverse,inverse,,79113849,15385988
quaternion:inverse,inverse,,90662404,15553227
quaternion:inverse,inverse,,85576885,15720466
quaternion:inverse,inverse,,84333774,15887705
quaternion:inverse,inverse,,85411571,16054944
quaternion:inverse,inverse,,86638145,16222183
quaternion:inverse,inverse,,92886837,16389422
quaternion:inverse,inverse,,87995444,16556661
quaternion:inverse,inverse,,90364666,16723900
