group,function,value,sample_time_nanos,iteration_count
quaternion:inverse,inverse_without_check,,947180,297830
quaternion:inverse,inverse_without_check,,1788545,595660
quaternion:inverse,inverse_without_check,,2621046,893490
quaternion:inverse,inverse_without_check,,3496474,1191320
quaternion:inverse,inverse_without_check,,4406548,1489150
quaternion:inverse,inverse_without_check,,5428386,1786980
quaternion:inverse,inverse_without_check,,8799627,2084810
quaternion:inverse,inverse_without_check,,9914702,2382640
quaternion:inverse,inverse_without_check,,9131327,2680470
quaternion:inverse,inverse_without_check,,10812442,2978300
quaternion:inverse,inverse_without_check,,11219035,3276130
quaternion:inverse,inverse_without_check,,11231741,3573960
quaternion:inverse,inverse_without_check,,12139669,3871790
quaternion:inverse,inverse_without_check,,12397285,4169620
quaternion:inverse,inverse_without_check,,17459366,4467450
quaternion:inverse,inverse_without_check,,15899255,4765280
quaternion:inverse,inverse_without_check,,18927078,5063110
quaternion:inverse,inverse_without_check,,19987633,5360940
quaternion:inverse,inverse_without_check,,21205792,5658770
quaternion:inverse,inverse_without_check,,18472265,5956600
quaternion:inverse,inverse_without_check,,23387928,6254430
quaternion:inverse,inverse_without_check,,21507367,6552260
quaternion:inverse,inverse_without_check,,23810338,6850090
quaternion:inverse,inverse_without_check,,25824784,7147920
quaternion:inverse,inverse_without_check,,24349920,7445750
quaternion:inverse,inverse_without_check,,25133795,7743580
quaternion:inverse,inverse_without_check,,26263831,8041410
quaternion:inverse,inverse_without_check,,26667328,8339240
quaternion:inverse,inverse_without_check,,25673161,8637070
quaternion:inverse,inverse_without_check,,28247091,8934900
quaternion:inverse,inverse_without_check,,34370446,9232730
quaternion:inverse,inverse_without_check,,30586936,9530560
quaternion:inverse,inverse_without_check,,30275689,9828390
quaternion:inverse,inverse_without_check,,32191801,10126220
quaternion:inverse,inverse_without_check,,37662456,10424050
quaternion:inverse,inverse_without_check,,37468274,10721880
quaternion:inverse,inverse_without_check,,39530838,11019710
quaternion:inverse,inverse_without_check,,41139925,11317540
quaternion:inverse,inverse_without_check,,36876176,11615370
quaternion:inverse,inverse_without_check,,40441842,11913200
quaternion:inverse,inverse_without_check,,39950687,12211030
quaternion:inverse,inverse_without_check,,44203941,12508860
quaternion:inverse,inverse_without_check,,47768129,12806690
quaternion:inverse,inverse_without_check,,48497891,13104520
quaternion:inverse,inverse_without_check,,50084083,13402350
quaternion:inverse,inverse_without_check,,42320796,13700180
quaternion:inverse,inverse_without_check,,45671474,13998010
quaternion:inverse,inverse_without_check,,47010340,14295840
quaternion:inverse,inverse_without_check,,48067876,14593670
quaternion:inverse,inverse_without_check,,47617620,14891500
quaternion:inverse,inverse_without_check,,46689010,15189330
quaternion:inverse,inverse_without_check,,48838563,15487160
quaternion:inverse,inverse_without_check,,49294865,15784990
quaternion:inverse,inverse_without_check,,54821474,16082820
quaternion:inverse,inverse_without_check,,55095840,16380650
quaternion:inverse,inverse_without_check,,57802943,16678480
quaternion:inverse,inverse_without_check,,72615296,16976310
quaternion:inverse,inverse_without_check,,55735279,17274140
quaternion:inverse,inverse_without_check,,64106405,17571970
quaternion:inverse,inverse_without_check,,56682658,17869800
quaternion:inverse,inverse_without_check,,58840924,18167630
quaternion:inverse,inverse_without_check,,63817520,18465460
quaternion:inverse,inverse_without_check,,59875733,18763290
quaternion:inverse,inverse_without_check,,60168507,19061120
quaternion:inverse,inverse_without_check,,67513716,19358950
quaternion:inverse,inverse_without_check,,65456631,19656780
quaternion:inverse,inverse_without_check,,64466783,19954610
quaternion:inverse,inverse_without_check,,65152337,20252440
quaternion:inverse,inverse_without_check,,66628719,20550270
quaternion:inverse,inverse_without_check,,64000209,20848100
quaternion:inverse,inverse_without_check,,74805042,21145930
quaternion:inverse,inverse_without_check,,71750644,21443760
quaternion:inverse,inverse_without_check,,71202696,21741590
quaternion:inverse,inverse_without_check,,72532883,22039420
quaternion:inverse,inverse_without_check,,69033614,22337250
quaternion:inverse,inverse_without_check,,72456367,22635080
quaternion:inverse,inverse_without_check,,74544636,22932910
quaternion:inverse,inverse_without_check,,77434305,23230740
quaternion:inverse,inverse_without_check,,76521797,23528570
quaternion:inverse,inverse_without_check,,82454925,23826400
quaternion:inverse,inverse_without_check,,75799816,24124230
quaternion:inverse,inverse_without_check,,76872364,24422060
quaternion:inverse,inverse_without_check,,76864604,24719890
quaternion:inverse,inverse_without_check,,84750722,25017720
quaternion:inverse,inverse_without_check,,84658531,25315550
quaternion:inverse,inverse_without_check,,89285789,25613380
quaternion:inverse,inverse_without_check,,84141359,25911210
quaternion:inverse,inverse_without_check,,90963890,26209040
quaternion:inverse,inverse_without_check,,83059225,26506870
quaternion:inverse,inverse_without_check,,88976640,26804700
quaternion:inverse,inverse_without_check,,91768345,27102530
quaternion:inverse,inverse_without_check,,91697522,27400360
quaternion:inverse,inverse_without_check,,90010027,27698190
quaternion:inverse,inverse_without_check,,90467676,27996020
quaternion:inverse,inverse_without_check,,88761216,28293850
quaternion:inverse,inverse_without_check,,95341586,28591680
quaternion:inverse,inverse_without_check,,93589339,28889510
quaternion:inverse,inverse_without_check,,92413200,29187340
quaternion:inverse,inverse_without_check,,93718762,29485170
quaternion:inverse,inverse_without_check,,100548807,29783000
