group,function,value,sample_time_nanos,iteration_count
quaternion:inverse,inverse_without_check,,998524,287015
quaternion:inverse,inverse_without_check,,1770148,574030
quaternion:inverse,inverse_without_check,,2820094,861045
quaternion:inverse,inverse_without_check,,3694804,1148060
quaternion:inverse,inverse_without_check,,4282535,1435075
quaternion:inverse,inverse_without_check,,5750047,1722090
quaternion:inverse,inverse_without_check,,6333965,2009105
quaternion:inverse,inverse_without_check,,6987256,2296120
quaternion:inverse,inverse_without_check,,8076696,2583135
quaternion:inverse,inverse_without_check,,9494543,2870150
quaternion:inverse,inverse_without_check,,12617578,3157165
quaternion:inverse,inverse_without_check,,11436782,3444180
quaternion:inverse,inverse_without_check,,14063434,3731195
quaternion:inverse,inverse_without_check,,14627345,4018210
quaternion:inverse,inverse_without_check,,13710672,4305225
quaternion:inverse,inverse_without_check,,14526015,4592240
quaternion:inverse,inverse_without_check,,15861801,4879255
quaternion:inverse,inverse_without_check,,20077148,5166270
quaternion:inverse,inverse_without_check,,17592359,5453285
quaternion:inverse,inverse_without_check,,18572612,5740300
quaternion:inverse,inverse_without_check,,19059335,6027315
quaternion:inverse,inverse_without_check,,24081272,6314330
quaternion:inverse,inverse_without_check,,21621322,6601345
quaternion:inverse,inverse_without_check,,20584517,6888360
quaternion:inverse,inverse_without_check,,21762918,7175375
quaternion:inverse,inverse_without_check,,23880994,7462390
quaternion:inverse,inverse_without_check,,25248351,7749405
quaternion:inverse,inverse_without_check,,26640351,8036420
quaternion:inverse,inverse_without_check,,27189335,8323435
quaternion:inverse,inverse_without_check,,27643100,8610450
quaternion:inverse,inverse_without_check,,28275691,8897465
quaternion:inverse,inverse_without_check,,28517223,9184480
quaternion:inverse,inverse_without_check,,28515905,9471495
quaternion:inverse,inverse_without_check,,31097121,9758510
quaternion:inverse,inverse_without_check,,31641814,10045525
quaternion:inverse,inverse_without_check,,32529514,10332540
quaternion:inverse,inverse_without_check,,33241551,10619555
quaternion:inverse,inverse_without_check,,34202119,10906570
quaternion:inverse,inverse_without_check,,34415125,11193585
quaternion:inverse,inverse_without_check,,36807157,11480600
quaternion:inverse,inverse_without_check,,37348780,11767615
quaternion:inverse,inverse_without_check,,38499361,12054630
quaternion:inverse,inverse_without_check,,43131642,12341645
quaternion:inverse,inverse_without_check,,42083570,12628660
quaternion:inverse,inverse_without_check,,42805062,12915675
quaternion:inverse,inverse_without_check,,47227688,13202690
quaternion:inverse,inverse_without_check,,47234724,13489705
quaternion:inverse,inverse_without_check,,49211332,13776720
quaternion:inverse,inverse_without_check,,43920436,14063735
quaternion:inverse,inverse_without_check,,45980390,14350750
quaternion:inverse,inverse_without_check,,49997201,14637765
quaternion:inverse,inverse_without_check,,45888412,14924780
quaternion:inverse,inverse_without_check,,48939715,15211795
quaternion:inverse,inverse_without_check,,53096265,15498810
quaternion:inverse,inverse_without_check,,54254286,15785825
quaternion:inverse,inverse_without_check,,53197922,16072840
quaternion:inverse,inverse_without_check,,52099214,16359855
quaternion:inverse,inverse_without_check,,52115931,16646870
quaternion:inverse,inverse_without_check,,54649704,16933885
quaternion:inverse,inverse_without_check,,54620360,17220900
quaternion:inverse,inverse_without_check,,60293848,17507915
quaternion:inverse,inverse_without_check,,60846858,17794930
quaternion:inverse,inverse_without_check,,64198757,18081945
quaternion:inverse,inverse_without_check,,58512238,18368960
quaternion:inverse,inverse_without_check,,60526107,18655975
quaternion:inverse,inverse_without_check,,59105475,18942990
quaternion:inverse,inverse_without_check,,59341485,19230005
quaternion:inverse,inverse_without_check,,62329287,19517020
quaternion:inverse,inverse_without_check,,61521802,19804035
quaternion:inverse,inverse_without_check,,65880889,20091050
quaternion:inverse,inverse_without_check,,73005887,20378065
quaternion:inverse,inverse_without_check,,64572993,20665080
quaternion:inverse,inverse_without_check,,73231699,20952095
quaternion:inverse,inverse_without_check,,71239902,21239110
quaternion:inverse,inverse_without_check,,67340651,21526125
quaternion:inverse,inverse_without_check,,79533676,21813140
quaternion:inverse,inverse_without_check,,71765265,22100155
quaternion:inverse,inverse_without_check,,74140147,22387170
quaternion:inverse,inverse_without_check,,80287867,22674185
quaternion:inverse,inverse_without_check,,78641601,22961200
quaternion:inverse,inverse_without_check,,77055767,23248215
quaternion:inverse,inverse_without_check,,77222736,23535230
quaternion:inverse,inverse_without_check,,76034038,23822245
quaternion:inverse,inverse_without_check,,85418249,24109260
quaternion:inverse,inverse_without_check,,86686424,24396275
quaternion:inverse,inverse_without_check,,82687723,24683290
quaternion:inverse,inverse_without_check,,81912075,24970305
quaternion:inverse,inverse_without_check,,82899350,25257320
quaternion:inverse,inverse_without_check,,90221863,25544335
quaternion:inverse,inverse_without_check,,114522364,25831350
quaternion:inverse,inverse_without_check,,89539426,26118365
quaternion:inverse,inverse_without_check,,93025437,26405380
quaternion:inverse,inverse_without_check,,89175658,26692395
quaternion:inverse,inverse_without_check,,85134791,26979410
quaternion:inverse,inverse_without_check,,85024461,27266425
quaternion:inverse,inverse_without_check,,93348073,27553440
quaternion:inverse,inverse_without_check,,87323139,27840455
quaternion:inverse,inverse_without_check,,87639643,28127470
quaternion:inverse,inverse_without_check,,88532963,28414485
quaternion:inverse,inverse_without_check,,92555497,28701500
