group,function,value,sample_time_nanos,iteration_count
vector3d:cross_product,cross_product,,1070492,439857
vector3d:cross_product,cross_product,,2115419,879714
vector3d:cross_product,cross_product,,3088631,1319571
vector3d:cross_product,cross_product,,4030971,1759428
vector3d:cross_product,cross_product,,5038686,2199285
vector3d:cross_product,cross_product,,6441571,2639142
vector3d:cross_product,cross_product,,7416727,3078999
vector3d:cross_product,cross_product,,8065111,3518856
vector3d:cross_product,cross_product,,11987928,3958713
vector3d:cross_product,cross_product,,10309283,4398570
vector3d:cross_product,cross_product,,10421420,4838427
vector3d:cross_product,cross_product,,11095609,5278284
vector3d:cross_product,cross_product,,12276841,5718141
vector3d:cross_product,cross_product,,16673832,6157998
vector3d:cross_product,cross_product,,13650089,6597855
vector3d:cross_product,cross_product,,14186398,7037712
vector3d:cross_product,cross_product,,15558232,7477569
vector3d:cross_product,cross_product,,17909288,7917426
vector3d:cross_product,cross_product,,17555750,8357283
vector3d:cross_product,cross_product,,18672602,8797140
vector3d:cross_product,cross_product,,23092379,9236997
vector3d:cross_product,cross_product,,19406082,9676854
vector3d:cross_product,cross_product,,24216135,10116711
vector3d:cross_product,cross_product,,23087538,10556568
vector3d:cross_product,cross_product,,23471416,10996425
vector3d:cross_product,cross_product,,23641675,11436282
vector3d:cross_product,cross_product,,28885006,11876139
vector3d:cross_product,cross_product,,26532406,12315996
vector3d:cross_product,cross_product,,26661838,12755853
vector3d:cross_product,cross_product,,27158066,13195710
vector3d:cross_product,cross_product,,29777756,13635567
vector3d:cross_product,cross_product,,36556498,14075424
vector3d:cross_product,cross_product,,35017392,14515281
vector3d:cross_product,cross_product,,31563708,14955138
vector3d:cross_product,cross_product,,32840665,15394995
vector3d:cross_product,cross_product,,33962754,15834852
vector3d:cross_product,cross_product,,35727973,16274709
vector3d:cross_product,cross_product,,40605035,16714566
vector3d:cross_product,cross_product,,36958419,17154423
vector3d:cross_product,cross_product,,36472635,17594280
vector3d:cross_product,cross_product,,38144144,18034137
vector3d:cross_product,cross_product,,42990738,18473994
vector3d:cross_product,cross_product,,40276477,18913851
vector3d:cross_product,cross_product,,41898549,19353708
vector3d:cross_product,cross_product,,41624848,19793565
vector3d:cross_product,cross_product,,44715682,20233422
vector3d:cross_product,cross_product,,44940688,20673279
vector3d:cross_product,cross_product,,49402529,21113136
vector3d:cross_product,cross_product,,54467610,21552993
vector3d:cross_product,cross_product,,49001160,21992850
vector3d:cross_product,cross_product,,47151372,22432707
vector3d:cross_product,cross_product,,47332650,22872564
vector3d:cross_product,cross_product,,53902791,23312421
vector3d:cross_product,cross_product,,49060502,23752278
vector3d:cross_product,cross_product,,55162231,24192135
vector3d:cross_product,cross_product,,56702445,24631992
vector3d:cross_product,cross_product,,53975037,25071849
vector3d:cross_product,cross_product,,53106560,25511706
vector3d:cross_product,cross_product,,59075339,25951563
vector3d:cross_product,cross_product,,59164290,26391420
vector3d:cross_product,cross_product,,56942975,26831277
vector3d:cross_product,cross_product,,62628780,27271134
vector3d:cross_product,cross_product,,63464849,27710991
vector3d:cross_product,cross_product,,69550423,28150848
vector3d:cross_product,cross_product,,64309775,28590705
vector3d:cross_product,cross_product,,67891705,29030562
vector3d:cross_product,cross_product,,67570501,29470419
vector3d:cross_product,cross_product,,68416986,29910276
vector3d:cross_product,cross_product,,76411900,30350133
vector3d:cross_product,cross_product,,69636414,30789990
vector3d:cross_product,cross_product,,65630676,31229847
vector3d:cross_product,cross_product,,70995786,31669704
vector3d:cross_product,cross_product,,69584456,32109561
vector3d:cross_product,cross_product,,72714398,32549418
vector3d:cross_product,cross_product,,77854723,32989275
vector3d:cross_product,cross_product,,78148464,33429132
vector3d:cross_product,cross_product,,78715922,33868989
vector3d:cross_product,cross_product,,77568454,34308846
vector3d:cross_product,cross_product,,81606293,34748703
vector3d:cross_product,cross_product,,75090581,35188560
vector3d:cross_product,cross_product,,73262410,35628417
vector3d:cross_product,cross_product,,80681422,36068274
vector3d:cross_product,cross_product,,84774228,36508131
vector3d:cross_product,cross_product,,80488580,36947988
vector3d:cross_product,cross_product,,87443658,37387845
vector3d:cross_product,cross_product,,83830551,37827702
vector3d:cross_product,cross_product,,82118393,38267559
vector3d:cross_product,cross_product,,84470398,38707416
vector3d:cross_product,cross_product,,92730874,39147273
vector3d:cross_product,cross_product,,93059400,39587130
vector3d:cross_product,cross_product,,83402047,40026987
vector3d:cross_product,cross_product,,85940604,40466844
vector3d:cross_product,cross_product,,86384095,40906701
vector3d:cross_product,cross_product,,91394019,41346558
vector3d:cross_product,cross_product,,92385117,41786415
vector3d:cross_product,cross_product,,94525604,42226272
vector3d:cross_product,cross_product,,91734533,42666129
vector3d:cross_product,cross_product,,90335735,43105986
vector3d:cross_product,cross_product,,95745365,43545843
vector3d:cross_product,cross_product,,100999152,43985700
