group,function,value,sample_time_nanos,iteration_count
vector3d:cross_product,cross_product,,965161,437912
vector3d:cross_product,cross_product,,1800788,875824
vector3d:cross_product,cross_product,,2703013,1313736
vector3d:cross_product,cross_product,,3601543,1751648
vector3d:cross_product,cross_product,,4921434,2189560
vector3d:cross_product,cross_product,,5402264,2627472
vector3d:cross_product,cross_product,,6372061,3065384
vector3d:cross_product,cross_product,,7725662,3503296
vector3d:cross_product,cross_product,,8566228,3941208
vector3d:cross_product,cross_product,,10144186,4379120
vector3d:cross_product,cross_product,,13418173,4817032
vector3d:cross_product,cross_product,,12182608,5254944
vector3d:cross_product,cross_product,,13494158,5692856
vector3d:cross_product,cross_product,,13146159,6130768
vector3d:cross_product,cross_product,,13885712,6568680
vector3d:cross_product,cross_product,,17701503,7006592
vector3d:cross_product,cross_product,,17268182,7444504
vector3d:cross_product,cross_product,,17080025,7882416
vector3d:cross_product,cross_product,,20806952,8320328
vector3d:cross_product,cross_product,,21326696,8758240
vector3d:cross_product,cross_product,,24180413,9196152
vector3d:cross_product,cross_product,,21344679,9634064
vector3d:cross_product,cross_product,,19896665,10071976
vector3d:cross_product,cross_product,,25022911,10509888
vector3d:cross_product,cross_product,,24142174,10947800
vector3d:cross_product,cross_product,,24246317,11385712
vector3d:cross_product,cross_product,,24989151,11823624
vector3d:cross_product,cross_product,,25529667,12261536
vector3d:cross_product,cross_product,,31579353,12699448
vector3d:cross_product,cross_product,,28780204,13137360
vector3d:cross_product,cross_product,,27361821,13575272
vector3d:cross_product,cross_product,,28944379,14013184
vector3d:cross_product,cross_product,,30786707,14451096
vector3d:cross_product,cross_product,,35781059,14889008
vector3d:cross_product,cross_product,,35409859,15326920
vector3d:cross_product,cross_product,,33508973,15764832
vector3d:cross_product,cross_product,,41796100,16202744
vector3d:cross_product,cross_product,,40256538,16640656
vector3d:cross_product,cross_product,,35946495,17078568
vector3d:cross_product,cross_product,,36829131,17516480
vector3d:cross_product,cross_product,,37810534,17954392
vector3d:cross_product,cross_product,,42310389,18392304
vector3d:cross_product,cross_product,,40834334,18830216
vector3d:cross_product,cross_product,,40275225,19268128
vector3d:cross_product,cross_product,,44459426,19706040
vector3d:cross_product,cross_product,,45223243,20143952
vector3d:cross_product,cross_product,,47182339,20581864
vector3d:cross_product,cross_product,,47113152,21019776
vector3d:cross_product,cross_product,,49931509,21457688
vector3d:cross_product,cross_product,,46325610,21895600
vector3d:cross_product,cross_product,,47906589,22333512
vector3d:cross_product,cross_product,,48169742,22771424
vector3d:cross_product,cross_product,,49047251,23209336
vector3d:cross_product,cross_product,,55650362,23647248
vector3d:cross_product,cross_product,,54635249,24085160
vector3d:cross_product,cross_product,,51984692,24523072
vector3d:cross_product,cross_product,,55502413,24960984
vector3d:cross_product,cross_product,,58803181,25398896
vector3d:cross_product,cross_product,,60827696,25836808
vector3d:cross_product,cross_product,,53629474,26274720
vector3d:cross_product,cross_product,,60675139,26712632
vector3d:cross_product,cross_product,,63535754,27150544
vector3d:cross_product,cross_product,,65120070,27588456
vector3d:cross_product,cross_product,,58583807,28026368
vector3d:cross_product,cross_product,,61463824,28464280
vector3d:cross_product,cross_product,,65366904,28902192
vector3d:cross_product,cross_product,,68093022,29340104
vector3d:cross_product,cross_product,,62838994,29778016
vector3d:cross_product,cross_product,,63783085,30215928
vector3d:cross_product,cross_product,,65351888,30653840
vector3d:cross_product,cross_product,,68859509,31091752
vector3d:cross_product,cross_product,,68500048,31529664
vector3d:cross_product,cross_product,,86620454,31967576
vector3d:cross_product,cross_product,,77691506,32405488
vector3d:cross_product,cross_product,,70047118,32843400
vector3d:cross_product,cross_product,,69963103,33281312
vector3d:cross_product,cross_product,,75837633,33719224
vector3d:cross_product,cross_product,,79306158,34157136
vector3d:cross_product,cross_product,,73722283,34595048
vector3d:cross_product,cross_product,,78835709,35032960
vector3d:cross_product,cross_product,,81967546,35470872
vector3d:cross_product,cross_product,,94847227,35908784
vector3d:cross_product,cross_product,,95892894,36346696
vector3d:cross_product,cross_product,,87023675,36784608
vector3d:cross_product,cross_product,,93992362,37222520
vector3d:cross_product,cross_product,,92089992,37660432
vector3d:cross_product,cross_product,,85750537,38098344
vector3d:cross_product,cross_product,,80764190,38536256
vector3d:cross_product,cross_product,,82801351,38974168
vector3d:cross_product,cross_product,,87380316,39412080
vector3d:cross_product,cross_product,,84172161,39849992
vector3d:cross_product,cross_product,,92648872,40287904
vector3d:cross_product,cross_product,,89810497,40725816
vector3d:cross_product,cross_product,,86030593,41163728
vector3d:cross_product,cross_product,,86856668,41601640
vector3d:cross_product,cross_product,,101785425,42039552
vector3d:cross_product,cross_product,,101632922,42477464
vector3d:cross_product,cross_product,,101211425,42915376
vector3d:cross_product,cross_product,,99129356,43353288
vector3d:cross_product,cross_product,,92111754,43791200
