group,function,value,sample_time_nanos,iteration_count
vector3d:dot_product,dot_product,,973900,605399
vector3d:dot_product,dot_product,,2087000,1210798
vector3d:dot_product,dot_product,,2580519,1816197
vector3d:dot_product,dot_product,,3503759,2421596
vector3d:dot_product,dot_product,,4792703,3026995
vector3d:dot_product,dot_product,,5652884,3632394
vector3d:dot_product,dot_product,,6374674,4237793
vector3d:dot_product,dot_product,,7503157,4843192
vector3d:dot_product,dot_product,,8512074,5448591
vector3d:dot_product,dot_product,,9670199,6053990
vector3d:dot_product,dot_product,,11845571,6659389
vector3d:dot_product,dot_product,,11287016,7264788
vector3d:dot_product,dot_product,,11944774,7870187
vector3d:dot_product,dot_product,,13323714,8475586
vector3d:dot_product,dot_product,,16697081,9080985
vector3d:dot_product,dot_product,,16296979,9686384
vector3d:dot_product,dot_product,,15745147,10291783
vector3d:dot_product,dot_product,,16990037,10897182
vector3d:dot_product,dot_product,,17205914,11502581
vector3d:dot_product,dot_product,,17458652,12107980
vector3d:dot_product,dot_product,,18893877,12713379
vector3d:dot_product,dot_product,,21420340,13318778
vector3d:dot_product,dot_product,,22283091,13924177
vector3d:dot_product,dot_product,,24616501,14529576
vector3d:dot_product,dot_product,,22155320,15134975
vector3d:dot_product,dot_product,,24146177,15740374
vector3d:dot_product,dot_product,,24628083,16345773
vector3d:dot_product,dot_product,,29849337,16951172
vector3d:dot_product,dot_product,,26471789,17556571
vector3d:dot_product,dot_product,,33152488,18161970
vector3d:dot_product,dot_product,,29095263,18767369
vector3d:dot_product,dot_product,,30046219,19372768
vector3d:dot_product,dot_product,,29663082,19978167
vector3d:dot_product,dot_product,,31812113,20583566
vector3d:dot_product,dot_product,,36679791,21188965
vector3d:dot_product,dot_product,,32503913,21794364
vector3d:dot_product,dot_product,,38959717,22399763
vector3d:dot_product,dot_product,,39075505,23005162
vector3d:dot_product,dot_product,,36568948,23610561
vector3d:dot_product,dot_product,,41096732,24215960
vector3d:dot_product,dot_product,,41451505,24821359
vector3d:dot_product,dot_product,,40548306,25426758
vector3d:dot_product,dot_product,,40598526,26032157
vector3d:dot_product,dot_product,,41345763,26637556
vector3d:dot_product,dot_product,,45238877,27242955
vector3d:dot_product,dot_product,,41159260,27848354
vector3d:dot_product,dot_product,,43773935,28453753
vector3d:dot_product,dot_product,,46200866,29059152
vector3d:dot_product,dot_product,,44581871,29664551
vector3d:dot_product,dot_product,,50639076,30269950
vector3d:dot_product,dot_product,,52201298,30875349
vector3d:dot_product,dot_product,,50422170,31480748
vector3d:dot_product,dot_product,,48189389,32086147
vector3d:dot_product,dot_product,,56923208,32691546
vector3d:dot_product,dot_product,,57341918,33296945
vector3d:dot_product,dot_product,,56603652,33902344
vector3d:dot_product,dot_product,,56493774,34507743
vector3d:dot_product,dot_product,,58150108,35113142
vector3d:dot_product,dot_product,,54254328,35718541
vector3d:dot_product,dot_product,,58577345,36323940
vector3d:dot_product,dot_product,,55374928,36929339
vector3d:dot_product,dot_product,,61356451,37534738
vector3d:dot_product,dot_product,,58210237,38140137
vector3d:dot_product,dot_product,,61583087,38745536
vector3d:dot_product,dot_product,,58992382,39350935
vector3d:dot_product,dot_product,,62141183,39956334
vector3d:dot_product,dot_product,,67806076,40561733
vector3d:dot_product,dot_product,,66282577,41167132
vector3d:dot_product,dot_product,,67799416,41772531
vector3d:dot_product,dot_product,,66062295,42377930
vector3d:dot_product,dot_product,,66651723,42983329
vector3d:dot_product,dot_product,,74229325,43588728
vector3d:dot_product,dot_product,,87202082,44194127
vector3d:dot_product,dot_product,,72231835,44799526
vector3d:dot_product,dot_product,,73672222,45404925
vector3d:dot_product,dot_product,,70851268,46010324
vector3d:dot_product,dot_product,,70108534,46615723
vector3d:dot_product,dot_product,,72182779,47221122
vector3d:dot_product,dot_product,,77921486,47826521
vector3d:dot_product,dot_product,,77631021,48431920
vector3d:dot_product,dot_product,,74563951,49037319
vector3d:dot_product,dot_product,,78751785,49642718
vector3d:dot_product,dot_product,,78543600,50248117
vector3d:dot_product,dot_product,,77547834,50853516
vector3d:dot_product,dot_product,,81519881,51458915
vector3d:dot_product,dot_product,,87592017,52064314
vector3d:dot_product,dot_product,,85101607,52669713
vector3d:dot_product,dot_product,,83666369,53275112
vector3d:dot_product,dot_product,,82896501,53880511
vector3d:dot_product,dot_product,,88500944,54485910
vector3d:dot_product,dot_product,,84744616,55091309
vector3d:dot_product,dot_product,,89276535,55696708
vector3d:dot_product,dot_product,,90970231,56302107
vector3d:dot_product,dot_product,,96139741,56907506
vector3d:dot_product,dot_product,,95634890,57512905
vector3d:dot_product,dot_product,,91254481,58118304
vector3d:dot_product,dot_product,,93621811,58723703
vector3d:dot_product,dot_product,,91954517,59329102
vector3d:dot_product,dot_product,,98477415,59934501
vector3d:dot_product,dot_product,,101187979,60539900
